SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0133.93.03.00004367;12135.4900;11877.01;4167;387;20/04/2011
0129.93.03.00000503;5470.7900;7470.79;4169;388;20/04/2011
0133.93.03.00004366;7358.6700;7358.68;4171;389;20/04/2011
0135.93.03.00003146;4060.4300;2060.43;4175;390;22/01/2008
0129.93.03.00000501;2686.1600;2685.67;4178;391;20/04/2011
0133.93.03.00004373;2428.8500;2428.36;4180;392;20/04/2011
0135.93.03.00003152;4579.9200;6579.92;4182;393;08/01/2008
0135.93.03.00003150;4493.1800;6493.18;4188;394;20/04/2011
0129.93.03.00000502;23693.6800;28013.68;4194;395;20/04/2011
0133.93.03.00004376;9765.6900;9971.74;4200;396;25/04/2011
0151.93.03.00000153;17721.4100;17784.79;4211;397;18/06/2008
0135.93.03.00003160;10474.6400;10289.55;4214;398;25/04/2011
0133.93.03.00004390;4368.4600;4282.8;4216;399;25/04/2011
0141.93.03.00002495;2413.2600;2412.77;4219;400;27/11/2008
0135.93.03.00003164;4478.5600;7271.28;4221;401;14/07/2008
0133.93.03.00004385;10399.5100;10441.37;4224;402;25/04/2011
0133.93.03.00004379;3639.0300;3639.01;4226;403;25/04/2011
